Year,Nominal GDP (million of Dollars),Real GDP (millions of 2012 dollars),GDP Deflator (index 2012=100),Population (in thousands),Nominal GDP per capita (current dollars),Real GDP per capita (year 2012 dollars)
1790,189,4568,4.14,3929,48.1,1162.75
1791,206,4842,4.25,4048,50.89,1196.26
1792,225,5199,4.33,4172,53.93,1246.28
1793,251,5612,4.47,4299,58.39,1305.44
1794,315,6354,4.96,4429,71.12,1434.73
1795,383,6758,5.67,4563,83.94,1480.96
1796,417,6972,5.98,4701,88.7,1483.05
1797,409,7113,5.75,4844,84.43,1468.31
1798,413,7417,5.57,4990,82.77,1486.37
1799,442,7941,5.57,5141,85.98,1544.63
1800,480,8393,5.72,5297,90.62,1584.57
1801,514,8802,5.84,5461,94.12,1611.78
1802,451,9079,4.97,5632,80.08,1612.06
1803,487,9232,5.27,5809,83.84,1589.33
1804,533,9591,5.56,5991,88.97,1600.98
1805,561,10100,5.55,6180,90.78,1634.25
1806,617,10577,5.83,6379,96.72,1658.16
1807,589,10587,5.56,6588,89.4,1606.99
1808,646,10610,6.09,6797,95.04,1560.98
1809,687,11422,6.01,7009,98.02,1629.56
1810,706,12055,5.86,7224,97.73,1668.7
1811,767,12603,6.09,7436,103.15,1694.84
1812,786,13106,6,7651,102.73,1712.95
1813,969,13851,7,7867,123.17,1760.67
1814,1078,14431,7.47,8085,133.33,1784.89
1815,925,14547,6.36,8308,111.34,1751.01
1816,819,14546,5.63,8540,95.9,1703.31
1817,769,14884,5.17,8790,87.49,1693.33
1818,737,15425,4.78,9057,81.37,1703.12
1819,726,15723,4.62,9335,77.77,1684.34
1820,710,16352,4.34,9618,73.82,1700.17
1821,735,17223,4.27,9899,74.25,1739.84
1822,805,17875,4.5,10189,79.01,1754.32
1823,759,18522,4.1,10488,72.37,1765.97
1824,754,19620,3.84,10795,69.85,1817.49
1825,822,20498,4.01,11115,73.95,1844.13
1826,866,21227,4.08,11449,75.64,1854.07
1827,916,21886,4.19,11797,77.65,1855.18
1828,897,22182,4.04,12158,73.78,1824.45
1829,930,23025,4.04,12525,74.25,1838.31
1830,1022,25142,4.06,12901,79.22,1948.81
1831,1052,27217,3.87,13277,79.23,2049.96
1832,1129,29057,3.89,13676,82.55,2124.66
1833,1158,29951,3.87,14086,82.21,2126.33
1834,1219,30455,4,14504,84.05,2099.8
1835,1340,32071,4.18,14917,89.83,2149.99
1836,1479,33021,4.48,15340,96.41,2152.58
1837,1554,33323,4.66,15790,98.42,2110.38
1838,1598,34702,4.6,16224,98.5,2138.9
1839,1661,35593,4.67,16656,99.72,2136.95
1840,1574,35691,4.41,17120,91.94,2084.73
1841,1652,36490,4.53,17612,93.8,2071.86
1842,1618,37656,4.3,18124,89.27,2077.7
1843,1568,39522,3.97,18641,84.12,2120.16
1844,1702,41768,4.07,19157,88.84,2180.29
1845,1859,44412,4.19,19708,94.33,2253.49
1846,2065,48020,4.3,20313,101.66,2364.03
1847,2410,51289,4.7,20987,114.83,2443.85
