"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1980-Q1","Q1-1980","PC","Percentage","0","Units",,,10.7333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1980-Q2","Q2-1980","PC","Percentage","0","Units",,,11.7566666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1980-Q3","Q3-1980","PC","Percentage","0","Units",,,11.7933333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1980-Q4","Q4-1980","PC","Percentage","0","Units",,,12.3066666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1981-Q1","Q1-1981","PC","Percentage","0","Units",,,13.1,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1981-Q2","Q2-1981","PC","Percentage","0","Units",,,13.1,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1981-Q3","Q3-1981","PC","Percentage","0","Units",,,14.6333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1981-Q4","Q4-1981","PC","Percentage","0","Units",,,15,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1982-Q1","Q1-1982","PC","Percentage","0","Units",,,15.0833333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1982-Q2","Q2-1982","PC","Percentage","0","Units",,,16,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1982-Q3","Q3-1982","PC","Percentage","0","Units",,,16.0333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1982-Q4","Q4-1982","PC","Percentage","0","Units",,,14.3833333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1983-Q1","Q1-1983","PC","Percentage","0","Units",,,13.6666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1983-Q2","Q2-1983","PC","Percentage","0","Units",,,13.9666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1983-Q3","Q3-1983","PC","Percentage","0","Units",,,14.55,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1983-Q4","Q4-1983","PC","Percentage","0","Units",,,13.3666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1984-Q1","Q1-1984","PC","Percentage","0","Units",,,13.8666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1984-Q2","Q2-1984","PC","Percentage","0","Units",,,13.9333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1984-Q3","Q3-1984","PC","Percentage","0","Units",,,13.0166666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1984-Q4","Q4-1984","PC","Percentage","0","Units",,,13.2833333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1985-Q1","Q1-1985","PC","Percentage","0","Units",,,13.5333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1985-Q2","Q2-1985","PC","Percentage","0","Units",,,13.75,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1985-Q3","Q3-1985","PC","Percentage","0","Units",,,13.7166666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1985-Q4","Q4-1985","PC","Percentage","0","Units",,,14.8166666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1986-Q1","Q1-1986","PC","Percentage","0","Units",,,13.4666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1986-Q2","Q2-1986","PC","Percentage","0","Units",,,12.6166666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1986-Q3","Q3-1986","PC","Percentage","0","Units",,,14.05,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1986-Q4","Q4-1986","PC","Percentage","0","Units",,,13.5333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1987-Q1","Q1-1987","PC","Percentage","0","Units",,,13.75,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1987-Q2","Q2-1987","PC","Percentage","0","Units",,,12.95,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1987-Q3","Q3-1987","PC","Percentage","0","Units",,,12.8,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1987-Q4","Q4-1987","PC","Percentage","0","Units",,,13.2666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1988-Q1","Q1-1988","PC","Percentage","0","Units",,,12.2,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1988-Q2","Q2-1988","PC","Percentage","0","Units",,,11.9166666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1988-Q3","Q3-1988","PC","Percentage","0","Units",,,11.9,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1988-Q4","Q4-1988","PC","Percentage","0","Units",,,12.4,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1989-Q1","Q1-1989","PC","Percentage","0","Units",,,13.5333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1989-Q2","Q2-1989","PC","Percentage","0","Units",,,13.6,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1989-Q3","Q3-1989","PC","Percentage","0","Units",,,13.3166666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1989-Q4","Q4-1989","PC","Percentage","0","Units",,,13.1833333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1990-Q1","Q1-1990","PC","Percentage","0","Units",,,13.18,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1990-Q2","Q2-1990","PC","Percentage","0","Units",,,13.5633333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1990-Q3","Q3-1990","PC","Percentage","0","Units",,,13.4266666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1990-Q4","Q4-1990","PC","Percentage","0","Units",,,12.55,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1991-Q1","Q1-1991","PC","Percentage","0","Units",,,11.4766666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1991-Q2","Q2-1991","PC","Percentage","0","Units",,,10.9666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1991-Q3","Q3-1991","PC","Percentage","0","Units",,,10.6566666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1991-Q4","Q4-1991","PC","Percentage","0","Units",,,9.66333333333334,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1992-Q1","Q1-1992","PC","Percentage","0","Units",,,10.0133333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1992-Q2","Q2-1992","PC","Percentage","0","Units",,,9.15,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1992-Q3","Q3-1992","PC","Percentage","0","Units",,,8.73666666666666,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1992-Q4","Q4-1992","PC","Percentage","0","Units",,,8.98,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","Units",,,8.13333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","Units",,,7.54333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","Units",,,6.78666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","Units",,,6.66,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1994-Q1","Q1-1994","PC","Percentage","0","Units",,,7.12,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1994-Q2","Q2-1994","PC","Percentage","0","Units",,,8.95333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1994-Q3","Q3-1994","PC","Percentage","0","Units",,,9.75333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1994-Q4","Q4-1994","PC","Percentage","0","Units",,,10.34,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1995-Q1","Q1-1995","PC","Percentage","0","Units",,,10.2062753633333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1995-Q2","Q2-1995","PC","Percentage","0","Units",,,9.25370032066667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1995-Q3","Q3-1995","PC","Percentage","0","Units",,,8.964147688,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1995-Q4","Q4-1995","PC","Percentage","0","Units",,,8.41945773533333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1996-Q1","Q1-1996","PC","Percentage","0","Units",,,8.38968253966667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1996-Q2","Q2-1996","PC","Percentage","0","Units",,,8.87914569033333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1996-Q3","Q3-1996","PC","Percentage","0","Units",,,8.22429951666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1996-Q4","Q4-1996","PC","Percentage","0","Units",,,7.34370048333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","1997-Q1","Q1-1997","PC","Percentage","0","Units",,,7.58417376766667,,
