Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Algeria,no data,77.833696000148,62.925693336249,74.027876178717,98.376050020169,116.19509324236,98.147859922179,69.855061578304,72.863183970186,82.019073655466,62.813271250152,54.267335998675,51.250700305121,42.148178222874,35.193283971638,26.28833033589,23.637991573841,13.499803166127,8.061761069457,9.7703189412116,10.493011833987,9.2572333237371,9.3316684834913,7.6008407540891,7.6732749532754,8.7472418760216,20.451958452948,27.259228136188,38.173880703885,46.278144349801,57.218140585227,66.57349084781,74.67549227199,83.214780868627,90.795276267872,96.746274739384
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,133.91413964311,113.50458385052,73.736175031322,57.967839676148,47.717067303095,33.464041827688,18.728790332818,21.043494453754,31.378232429784,56.302246947395,37.162840249101,29.557715017954,26.690559676904,33.149103637934,39.809856914509,57.093024430083,75.662637315019,69.264947447603,89.0002871034,109.21040727705,120.28998534847,107.52592467362,93.771797761622,83.6921908753,74.323906577294,67.236995877179
Argentina,no data,no data,24.960987436568,26.892713909431,28.425983266469,30.749379867633,32.550752715206,31.675798728363,34.146879991671,38.916986260079,40.832838854736,48.006618710089,147.20254831746,125.16163417111,117.8778483555,80.28179898102,70.792689563797,62.132710768967,53.813851619113,55.397080355144,43.454315478587,38.934854420503,40.436048010475,43.496069782894,44.696850201948,52.562643306271,53.060179552391,57.027841921981,86.430910345764,90.382264624808,no data,no data,no data,no data,no data,no data
Australia,16.443941487305,21.651006104347,27.67808547547,30.719908499094,31.782156643008,31.233160377913,29.421779081568,25.960168209755,23.753594644785,22.593645012402,19.552806503572,17.169360478937,15.048887066392,13.225527802108,11.943549372989,10.894267489412,9.9652871523894,9.687978272601,11.753288109005,16.653767853041,20.394855718309,24.069203434941,27.536021437953,30.496697252504,34.027086120608,37.699128366753,40.493234433912,41.075900155068,41.664051888431,46.277033684555,60.41063992804,70.197579611941,74.391989674406,74.97246044331,73.602781227181,70.901734155505
Austria,55.93172813357,56.134185719071,56.027725476906,60.62884437996,63.720815314914,67.864755938712,67.807224467078,63.055843012828,68.818757238475,61.103165749819,65.737556798339,66.35452381611,66.97782699819,64.896276888242,64.848684661161,68.317489592644,67.000706433021,64.740497503328,68.41735773087,79.579769208951,82.417665495312,82.178173828534,81.66093158987,81.011239840166,83.757939834805,84.401114011942,82.619837072351,78.405188500653,73.963831075979,70.346848299926,84.756937442588,84.28123940966,82.442045659945,81.11544941438,79.312897726639,76.966134983388
Azerbaijan,no data,no data,no data,no data,no data,19.209110507077,16.72123521498,12.465675187524,14.290774871697,25.413739311481,22.837185562902,24.387309350752,23.017660212703,21.828259349072,9.7099795076428,6.8546552004941,5.2966483759243,4.0033179093324,3.2207651862865,4.7261823793929,4.9808659366537,4.9668636957106,5.8306015121375,6.1788358083256,8.5326238983565,17.980392239794,20.608325615803,22.508608458041,18.685386805174,17.702700574648,20.113034398585,20.036089092721,21.422004150294,23.642229661149,23.575947059101,26.210548816171
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.321696908822,43.481849323458,42.295556222553,42.324500467982,41.913417572709,40.573233322863,39.542724108258,35.485396106057,36.62345365523,36.220629788747,35.820044963856,35.273438915997,33.681126744361,33.331267894659,33.376307695671,34.561380053074,35.818854928676,39.619325552797,41.914683174711,42.290118907138,42.3861897919,41.862150389099,41.311186201016
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.5364585275318,8.3910679744448,12.691346966581,16.351151079655,20.980393063299,32.546848681094,36.805212541167,58.22333349607,36.946222305236,36.859472648841,38.790604875819,53.006888477235,53.481630120226,53.159845614365,47.515236057642,41.863123746469,50.896401845811,48.584186583529,48.174323832866,45.211098316238,44.340461385278,42.980824009678
Belgium,130.30760543947,131.79722042118,134.68400996896,138.92589124077,137.08340503378,131.28667056236,129.00395729112,124.27119914681,119.1858965541,115.36280570848,109.58904109589,108.21684604763,105.43668002415,101.65931131113,97.169665116906,95.141870163884,91.494413364867,87.32462407492,93.160043440931,100.21675570679,100.27317288098,103.49471231594,104.81051336829,105.48564447159,106.98628301456,105.16700183824,104.9034123529,101.76496837139,99.897721807669,98.74758235835,117.69646513468,117.0678915072,118.3397068129,119.59828763137,121.24805220757,123.02350574136
Benin,no data,no data,no data,no data,no data,no data,no data,no data,39.198277825403,39.408922248123,39.591941137866,37.986511179043,30.768041757581,23.38085204229,21.50953025393,26.978138976202,8.3661222980857,14.285903708878,18.306655524937,18.747680497192,20.9997650919,21.860410541195,19.540206385867,18.503745998756,22.28207466242,30.900229829608,35.923349756934,39.598463159297,41.080350699003,41.229642352025,41.786275156629,41.365396357431,39.87009782037,38.371396738034,36.777287787987,35.188595788921
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.891222943433,59.957444435538,69.143567208796,74.065586332517,89.810294455577,82.158026983874,54.375073627626,40.031699579036,36.785004828325,39.209311825916,37.637375104332,35.326718037665,35.394279639031,36.09712727615,37.602706697122,40.904668160572,46.489861569067,51.260210662156,53.849776106009,59.000108633664,69.447157661682,68.313390278704,67.570039233175,66.906086776486,66.585099517339,65.992184652544
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.560773633943,70.053703543103,78.797735589593,73.822999346177,70.076882754761,68.585171049981,65.8451918549,64.139951959626,62.334232203288,65.462897661576,63.044938742324,61.203558341298,62.19564107313,60.19273710899,62.310028321894,72.572965431548,78.285942995978,83.659345606285,87.071369796777,89.470878482817,101.39883805572,102.76438661475,103.47283693656,103.76577163923,104.20963125845,104.40901237563
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.286941945784,39.673686910507,40.740452989043,39.214346303648,20.088439961946,22.814501949607,23.030984877826,25.871200796043,27.763865389482,24.503601514748,25.210490303242,25.900832290773,26.55549986159,31.373105299802,33.276496326562,33.498179845552,37.65405637681,42.672143001398,46.615900647628,48.062090148865,48.422503300372,48.270283049877,47.690037180092,47.142206938255
Cambodia,no data,no data,no data,no data,no data,no data,30.150860118503,31.5762083299,37.183303955198,34.736961416697,35.234553434576,34.868812137221,39.74832144112,43.099418891506,42.703413184329,35.561037490129,30.682248880813,29.387333886734,26.995346709995,28.465164618148,28.744030456346,29.735495908637,31.534111624589,31.733744224134,31.901196539067,31.156690566041,29.12416915009,29.994907472025,28.638443775256,28.612854635681,31.47160863474,31.441263688101,32.109766997461,33.354767469701,35.120836976294,36.854990567085
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,73.19787439458,73.858012831833,79.315661003837,65.614724643229,60.410582601048,56.427599383905,55.768959613621,47.650002401928,19.810129052369,14.749607913253,11.657100530675,12.03567708681,14.704483137418,15.690083007907,15.411945832866,18.211932961565,21.53379176084,31.981492421015,33.254975907273,37.678799963157,39.473808670456,42.669031275505,44.727470345078,44.96785874825,44.897807263583,44.084644916494,42.83181719571,41.385794488359
Canada,74.26313807263,81.243377391843,88.883085713443,94.730247631643,97.480466481138,100.0841729586,100.24388428464,95.27249191224,93.290188273219,88.965669140722,80.436608499816,81.462033318102,79.604069384616,75.911797358352,71.889399886654,70.640409682116,69.919831832602,66.861448688914,67.914010576685,79.272579858897,81.219748770744,81.777873728272,85.406257986943,86.09160640022,85.579563466403,91.192303615129,91.732603978702,90.548487301195,89.746953040125,88.618885201387,114.64768855793,114.97201090884,114.67078619569,112.83100922603,110.01669922377,106.24251389168
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,57.96643346852,67.984918435,56.448863104534,54.432,44.656,32.635,28.483974103956,26.165426918817,22.069533138579,20.098645246993,31.525455866496,30.050703287594,30.565808559713,28.764681637881,30.630878794926,39.506105795654,43.881634721452,51.344351146024,50.268413470604,49.055140819983,44.28612957478,46.371217785788,44.351842524435,41.873318165705,39.147399880374,37.830006037093,35.104102521539
Chile,no data,37.223016831119,30.504829667814,28.167169688123,22.728158387618,17.336341411302,14.687595328968,12.903585109062,12.179806733807,13.36520983843,13.218778657745,14.458505740902,15.167241935578,12.716766965955,10.298777540243,7.000403506468,4.989201175474,3.8786890773802,4.9209097022132,5.8201328522725,8.55935272123,11.08821543868,11.945183693427,12.73196051777,14.956984040366,17.275529043138,21.010897025023,23.598352859519,25.557934105254,27.906573093852,32.806043625392,37.509675945687,41.744687113431,44.893170766157,47.737809575744,47.981251937329
"China, People's Republic of",no data,no data,no data,no data,no data,21.618920759898,21.425412338092,20.604993382488,20.664440730674,21.862955931708,22.986707158154,24.574619985403,25.915546185314,26.80032058037,26.393225875393,26.311660523043,25.567919605311,29.164340446693,27.158797609575,34.567022834094,33.92428554277,33.771605504582,34.393062352997,37.035285298531,39.96924112748,41.488823753819,44.304863730638,46.358020362711,48.795517291774,52.629083892099,61.701984014345,66.530144111759,71.200070292068,74.598672603297,76.834457817207,78.068276979198
Colombia,no data,no data,no data,no data,no data,no data,23.285712227303,25.262622280444,27.453342285529,33.982360692553,37.987546783507,41.095119409412,47.545288669429,45.039481478516,41.482019429049,38.532381428003,35.969176144445,32.663174999134,32.382419070311,35.386764233322,36.497039775456,35.783506632626,33.966526771396,37.592310994829,43.318836968401,50.419035390797,49.796316819875,49.436312787613,53.685184045283,52.285118856206,68.231452880254,68.064986184103,67.325305762068,65.472358160088,62.342640553237,59.524324441303
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,134.98225856284,181.616716998,136.04228507514,114.46404211815,141.75897336407,101.47235134111,103.18074338951,84.948371514333,87.840914555515,91.259676760023,30.572422129369,24.962546958375,21.784288640126,19.119192514278,16.802800757172,16.994646340513,21.747563061887,19.052967080233,15.297901105794,14.749732609788,16.13997917678,13.41955174516,11.276047750992,9.2697874487646,7.6929881369131,6.2587123097287
"Congo, Republic of ",0,0,0,0,0,0,0,0,0,0,145.01978857926,180.08247420129,163.51317107024,185.30958070114,181.3149858096,99.144482758873,94.724866820268,93.757445437014,69.598021501858,83.835524523284,43.48701020938,34.389938001294,30.19758087963,33.939154112504,42.325412604251,74.190157136392,91.047749858886,94.224079160546,78.556615146484,83.672369655268,104.51835096524,98.419497094273,90.366868747907,81.847925846716,70.270291209833,63.729321091854
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,21.973427131174,28.26342057084,33.374402774139,34.76394747458,36.797813223931,38.179894998904,40.309330103508,41.259147606068,38.747728747016,37.353457810162,39.28120484638,48.666207134241,57.790814014664,64.369444261045,70.122750804068,81.189641585826,84.688297891604,84.313709905327,80.802405679317,77.756224295699,74.716657440386,73.236299743565,87.670124522301,85.459198047073,82.711042098753,80.272949658927,77.968833255392,75.970179077703
